Date,Tick,Close,Polarity,News
2016-05-30,Q,67.5925,0.0,0
2016-05-31,Q,67.89,0.0,1
2016-06-01,Q,67.86,0.0,0
2016-06-02,Q,67.83,0.0,1
2016-06-03,Q,67.22,0.0,0
2016-06-04,Q,67.2166666667,0.0,0
2016-06-05,Q,67.2133333333,0.0,0
2016-06-06,Q,67.21,0.0,0
2016-06-07,Q,67.24,0.0,1
2016-06-08,Q,66.8,0.0,0
2016-06-09,Q,66.54,0.0,1
2016-06-10,Q,65.57,0.0,0
2016-06-11,Q,65.5133333333,0.0,0
2016-06-12,Q,65.4566666667,0.0,0
2016-06-13,Q,65.4,0.0,0
2016-06-14,Q,65.17,0.0,0
2016-06-15,Q,65.1,0.0,0
2016-06-16,Q,64.87,0.0,0
2016-06-17,Q,63.4,0.0,0
2016-06-18,Q,63.4966666667,0.0,0
2016-06-19,Q,63.5933333333,0.0,0
2016-06-20,Q,63.69,0.0,1
2016-06-21,Q,63.83,0.0,1
2016-06-22,Q,63.92,0.0,0
2016-06-23,Q,65.02,0.0,0
2016-06-24,Q,63.32,0.999999000001,1
2016-06-25,Q,62.6533333333,0.0,0
2016-06-26,Q,61.9866666667,0.0,0
2016-06-27,Q,61.32,0.0,0
2016-06-28,Q,62.4,0.999999000001,1
2016-06-29,Q,63.49,0.0,0
2016-06-30,Q,65.32,0.0,0
2016-07-01,Q,66.86,0.0,1
2016-07-02,Q,66.9525,0.0,0
2016-07-03,Q,67.045,0.0,0
2016-07-04,Q,67.1375,-0.999999000001,1
2016-07-05,Q,67.23,0.0,1
2016-07-06,Q,68.31,0.0,0
2016-07-07,Q,68.99,0.0,0
2016-07-08,Q,71.41,0.0,0
2016-07-09,Q,71.2133333333,0.0,0
2016-07-10,Q,71.0166666667,0.0,0
2016-07-11,Q,70.82,0.999999000001,1
2016-07-12,Q,71.06,0.0,0
2016-07-13,Q,71.06,0.0,1
2016-07-14,Q,72.82,0.0,0
2016-07-15,Q,71.67,0.0,0
2016-07-16,Q,71.9033333333,0.0,0
2016-07-17,Q,72.1366666667,0.0,0
2016-07-18,Q,72.37,0.0,0
2016-07-19,Q,72.14,0.0,0
2016-07-20,Q,73.22,0.0,0
2016-07-21,Q,72.89,0.0,0
2016-07-22,Q,74.03,0.0,0
2016-07-23,Q,74.0466666667,0.0,0
2016-07-24,Q,74.0633333333,0.0,0
2016-07-25,Q,74.08,0.0,0
2016-07-26,Q,75.45,0.0,1
2016-07-27,Q,75.0,1.999998,1
2016-07-28,Q,77.92,0.0,0
2016-07-29,Q,77.64,0.0,0
2016-07-30,Q,77.9633333333,0.0,0
2016-07-31,Q,78.2866666667,0.0,0
2016-08-01,Q,78.61,0.0,0
2016-08-02,Q,77.56,0.999999000001,1
2016-08-03,Q,77.04,0.0,1
2016-08-04,Q,77.38,-0.999999000001,1
2016-08-05,Q,77.78,0.0,0
2016-08-06,Q,77.3733333333,0.0,0
2016-08-07,Q,76.9666666667,0.0,0
2016-08-08,Q,76.56,0.0,1
2016-08-09,Q,76.48,0.0,0
2016-08-10,Q,76.81,0.0,0
2016-08-11,Q,76.75,0.0,0
2016-08-12,Q,76.4,0.0,0
2016-08-13,Q,76.4366666667,0.0,0
2016-08-14,Q,76.4733333333,0.0,0
2016-08-15,Q,76.51,0.0,0
2016-08-16,Q,76.11,0.0,1
2016-08-17,Q,75.3,0.999999000001,1
2016-08-18,Q,75.26,0.999999000001,1
2016-08-19,Q,75.05,0.0,0
2016-08-20,Q,75.5633333333,0.0,0
2016-08-21,Q,76.0766666667,0.0,0
2016-08-22,Q,76.59,0.0,0
2016-08-23,Q,76.01,0.0,0
2016-08-24,Q,75.41,0.0,0
2016-08-25,Q,75.68,0.0,0
2016-08-26,Q,75.69,0.0,0
2016-08-27,Q,76.2666666667,0.0,0
2016-08-28,Q,76.8433333333,0.0,0
2016-08-29,Q,77.42,0.999999000001,1
2016-08-30,Q,77.14,0.0,0
2016-08-31,Q,77.3,0.0,0
2016-09-01,Q,77.42,0.0,0
2016-09-02,Q,76.96,0.0,0
2016-09-03,Q,76.855,0.0,0
2016-09-04,Q,76.75,0.0,0
2016-09-05,Q,76.645,0.0,0
2016-09-06,Q,76.54,0.0,1
2016-09-07,Q,77.69,0.0,0
2016-09-08,Q,77.85,0.0,0
2016-09-09,Q,77.07,0.0,0
2016-09-10,Q,77.2933333333,0.0,0
2016-09-11,Q,77.5166666667,0.0,0
2016-09-12,Q,77.74,-0.999999000001,1
2016-09-13,Q,77.53,0.0,0
2016-09-14,Q,77.9,0.0,1
2016-09-15,Q,77.85,0.0,1
2016-09-16,Q,77.31,0.0,0
2016-09-17,Q,77.3333333333,0.0,0
2016-09-18,Q,77.3566666667,0.0,0
2016-09-19,Q,77.38,0.0,0
